subid,balanced,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,response,Mood,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS,LSAS,LSAS_FEAR,LSAS_AVOIDANCE,CESD,UCLA_loneliness,BISBAS_BIS,BISBAS_BASRR,BISBAS_FS,BISBAS_BASD,RSE,STAI,UM_AFFILIATION,UM_INTIMACY,COVIDexperience_score,COVIDimpacts_score,COVIDthreat_score,COVIDpsychstress_score,MSSSF
55a43687fdf99b7da1908e0f,0,15,0.01,0.05,1,0.01,1.1024,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,16,0.05,0.03,0,0.03,1.4344,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,17,0.04,0.03,0,0.03,1.0336,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,18,0.01,0.04,1,0.01,1.0503,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,19,0.05,0.02,0,0.02,1.3674,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,20,0.03,0.03,1,0.03,1.9017,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,21,0.05,0.01,0,0.01,1.401,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,22,0.04,0.02,0,0.02,1.7353,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,23,0.04,0.01,0,0.01,0.9835,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,24,0.03,0.02,0,0.02,1.6032,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,25,0.02,0.05,1,0.02,1.5659,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,26,0.01,0.02,1,0.01,1.4343,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,27,0.05,0.01,0,0.01,1.0168,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,28,0.03,0.05,1,0.03,2.2694,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,29,0.01,0.01,1,0.01,0.733,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,30,0.03,0.01,0,0.01,1.6848,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,31,0.02,0.01,0,0.01,4.9744,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,32,0.01,0.03,1,0.01,2.6535,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,33,0.04,0.03,0,0.03,1.3343,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,34,0.02,0.05,1,0.02,1.3341,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
