,participant,balanced,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS
59,5ebcada11ac87310b16fe61b,1,0.020740741,0.023478261,0.56,0.54,0.54,0.46,0,1,22,1.0,48,13,12,20,3,10.0
60,5ec967b73fdeb70aad0322d8,1,0.023478261,0.020740741,0.54,0.56,0.46,0.54,1,0,27,4.25,50,19,16,6,9,15.0
61,5ecd4acdb218ec085c6eefe6,1,0.035555556,0.037826087,0.96,0.87,0.54,0.46,0,1,14,5.833333333,71,21,22,3,25,16.0
62,5ed543442db0060a955d12e1,1,0.026315789,0.020833333,1.0,0.25,0.76,0.24,1,1,23,2.666666667,96,25,26,24,21,12.0
63,5ee150a384b8a1164fef6273,1,0.026071429,0.025909091,0.73,0.57,0.56,0.44,1,1,30,5.25,68,17,18,10,23,13.0
64,5ee1bc2e2be5f61f0eaf1713,0,0.0276,0.028,0.69,0.7,0.5,0.5,0,0,31,1.5,90,20,26,26,18,10.0
65,5eeaff28cf5da71d691ef212,0,0.0275,0.028809524,0.22,1.21,0.16,0.84,0,0,26,3.25,57,20,5,22,10,13.0
66,5efc9ea8f8e7950584b12e87,1,0.032258065,0.031578947,1.0,0.6,0.62,0.38,1,1,19,5.75,35,11,12,3,9,15.0
67,5f07b62e0e3ac43ea9d490c6,1,0.037037037,0.037826087,1.0,0.87,0.54,0.46,0,1,29,2.0,101,27,26,24,24,16.0
68,5f0bcb67acb8844f8a226f2b,1,0.026470588,0.03,0.45,0.96,0.346938776,0.653061224,0,0,34,4.166666667,74,23,24,15,12,13.0
69,5f12b3a2791d172281e7d6a9,0,0.028214286,0.024545455,0.79,0.54,0.56,0.44,1,1,16,5.416666667,77,21,27,13,16,15.0
70,5f18b5343b9a080d1e17db57,0,0.027272727,0.026666667,0.3,1.04,0.22,0.78,1,0,33,4.416666667,75,27,20,6,22,11.0
71,5f248a2f46a10507b20d9f17,0,0.032380952,0.025862069,0.68,0.75,0.42,0.58,1,0,30,4.083333333,54,14,12,14,14,4.0
72,5f29109240b4f4000bfd5a06,1,0.030833333,0.034615385,0.74,0.9,0.48,0.52,0,0,23,4.0,56,14,14,14,14,16.0
73,5f2dc46d6fa1250ee8a1a15d,0,0.035333333,0.036315789,1.06,0.69,0.612244898,0.387755102,0,1,11,6.5,60,19,16,8,17,14.0
74,5f2f566ddaea2a3417b75920,1,0.021304348,0.022592593,0.49,0.61,0.46,0.54,0,0,32,5.25,69,5,27,25,12,15.0
75,5f3964ca4539e00bd5ce47fb,1,0.02875,0.028076923,0.69,0.73,0.48,0.52,1,0,28,5.333333333,71,18,20,21,12,15.0
76,5f3ac1732efa0a74f975b1a8,0,0.022666667,0.021,0.68,0.42,0.6,0.4,1,1,4,6.0,36,1,9,0,26,16.0
77,5f44c445cfb0a801244f652f,1,0.037391304,0.032962963,0.86,0.89,0.46,0.54,1,0,11,6.583333333,74,23,17,12,22,17.0
78,5f4c4b277200c9868db9d43f,1,0.029166667,0.031052632,0.35,1.18,0.24,0.76,0,0,25,4.833333333,68,18,23,12,15,15.0
79,5f4c500d2a325c74a03597c4,1,0.031666667,0.031538462,0.76,0.82,0.48,0.52,1,0,27,4.333333333,67,14,18,18,17,11.0
80,5f4cc1ded01b151cbb03c0f8,0,0.026969697,0.025882353,0.89,0.44,0.66,0.34,1,1,9,6.416666667,77,17,24,13,23,17.0
81,5f4ced34dbc54406d1684da0,0,0.029761905,0.03375,1.25,0.27,0.84,0.16,0,1,11,6.333333333,76,17,28,9,22,16.0
82,5f4d3cb5fdda0b2c403fb801,1,0.035,0.034375,0.63,1.1,0.36,0.64,1,0,21,4.083333333,78,22,20,19,17,13.0
83,5f4ee0e82f0d6c12d692c29b,0,0.027878788,0.028823529,0.92,0.49,0.66,0.34,0,1,21,4.583333333,71,17,23,19,12,15.0
84,5f504fd2cc049d1cbf29c40d,1,0.037083333,0.038846154,0.89,1.01,0.48,0.52,0,0,13,7.0,84,28,28,0,28,20.0
85,5f50dc440305bb077d82eca4,0,0.040416667,0.035238095,0.97,0.74,0.533333333,0.466666667,1,1,21,5.916666667,61,17,19,11,14,16.0
86,5f53216409e6d06275ef0545,0,0.036451613,0.038235294,1.13,0.65,0.645833333,0.354166667,0,1,20,6.5,72,18,20,16,18,15.0
87,5f5f09ebf7e0497dcdb37dee,0,0.04,0.037826087,1.08,0.87,0.54,0.46,1,1,22,5.666666667,63,18,17,14,14,16.0
88,5f62bff03a4958215b85d8bf,1,0.029090909,0.029285714,0.64,0.82,0.44,0.56,0,0,14,4.083333333,72,19,22,9,22,16.0
89,5f647f4d6443f82231b6bc78,0,0.01952381,0.019655172,0.41,0.57,0.42,0.58,0,0,19,5.583333333,72,23,17,13,19,17.0
90,5f68d7190611d306d40d4b58,0,0.034230769,0.03,0.89,0.69,0.530612245,0.469387755,1,1,15,7.0,67,8,28,3,28,20.0
91,5f6ea39029ca174064215ac2,0,0.028965517,0.026190476,0.84,0.55,0.58,0.42,1,1,25,5.416666667,81,22,20,20,19,12.0
92,5f793609f8089e53266336f5,1,0.030232558,0.03,1.3,0.21,0.86,0.14,1,1,19,6.5,76,18,20,13,25,17.0
93,5f7e4fbc36d39211c80599fe,0,0.035263158,0.028333333,0.67,0.85,0.387755102,0.612244898,1,0,29,5.5,68,15,18,16,19,14.0
94,5f888a84d0200d03067e17ed,1,0.031707317,0.037777778,1.3,0.34,0.82,0.18,0,1,15,7.0,89,24,28,9,28,20.0
95,5f8c70c9c8e71c0b49e49797,1,0.028,0.029142857,0.42,1.02,0.3,0.7,0,0,22,5.75,53,11,16,13,13,16.0
