subid,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT
60ff2035293107014b9770e8,10,0.05,0.04,0,0.04,4.0324,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,11,0.03,0.01,1,0.03,2.9692,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,12,0.05,0.03,1,0.05,3.2231,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,13,0.02,0.04,0,0.04,2.264,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,14,0.02,0.05,0,0.05,1.6606,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,15,0.01,0.05,1,0.01,1.5646,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,16,0.05,0.05,0,0.05,1.8155,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,17,0.04,0.04,0,0.04,2.561,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,18,0.01,0.01,0,0.01,2.0829,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,19,0.02,0.02,0,0.02,1.5993,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,20,0.05,0.03,0,0.03,2.1669,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,21,0.01,0.05,0,0.05,1.8774,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,22,0.04,0.05,1,0.04,1.6986,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,23,0.04,0.05,1,0.04,1.7665,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,24,0.03,0.04,1,0.03,1.6314,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,25,0.04,0.03,0,0.03,1.4853,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,26,0.02,0.04,0,0.04,2.2475,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,27,0.01,0.04,0,0.04,2.6993,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,28,0.02,0.05,0,0.05,2.6992,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,29,0.05,0.02,0,0.02,2.1652,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,30,0.02,0.02,0,0.02,1.7491,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,31,0.04,0.02,0,0.02,2.1138,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,32,0.05,0.01,0,0.01,2.7615,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,33,0.05,0.04,0,0.04,1.9496,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,34,0.03,0.05,0,0.05,1.5999,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,35,0.02,0.01,0,0.01,2.1157,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,36,0.03,0.02,0,0.02,1.499,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,37,0.02,0.03,0,0.03,1.3009,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,38,0.01,0.04,0,0.04,1.3855,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,39,0.01,0.02,0,0.02,1.4323,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,40,0.01,0.03,0,0.03,1.9639,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,41,0.04,0.04,0,0.04,2.7319,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,42,0.01,0.03,1,0.01,2.8304,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,43,0.04,0.01,0,0.01,2.4131,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,44,0.01,0.01,0,0.01,2.3481,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,45,0.03,0.05,0,0.05,1.8687,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,46,0.03,0.04,1,0.03,2.9968,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,47,0.03,0.03,1,0.03,2.3779,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,48,0.03,0.01,1,0.03,2.7491,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,49,0.04,0.02,0,0.02,2.746,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,50,0.04,0.03,0,0.03,4.791,32,5.333333333,59,17,20,8,14
5f793609f8089e53266336f5,1,0.01,0.04,1,0.01,4.1351,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,2,0.01,0.05,1,0.01,4.5929,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,3,0.03,0.03,1,0.03,4.1062,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,4,0.03,0.05,1,0.03,2.9776,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,5,0.03,0.03,1,0.03,3.3124,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,6,0.04,0.01,1,0.04,2.336,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,7,0.05,0.05,1,0.05,2.4116,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,8,0.05,0.03,1,0.05,3.0802,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,9,0.04,0.05,1,0.04,1.5841,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,10,0.01,0.02,1,0.01,1.072,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,11,0.05,0.04,1,0.05,1.1434,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,12,0.03,0.02,1,0.03,0.9429,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,13,0.05,0.04,1,0.05,2.0939,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,14,0.02,0.03,1,0.02,1.5348,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,15,0.01,0.01,0,0.01,1.4338,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,16,0.02,0.05,0,0.05,2.0682,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,17,0.03,0.04,0,0.04,5.6899,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,18,0.02,0.02,1,0.02,2.5467,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,19,0.02,0.03,1,0.02,1.7128,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,20,0.03,0.02,1,0.03,3.6494,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,21,0.04,0.04,0,0.04,2.0762,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,22,0.01,0.02,1,0.01,2.686,19,6.5,76,18,20,13,25
